Course,Applicant Income,Coapplicant Income,Cibil Score,Cgpa,Previous Score,Loan Amount,Loan Status
Law,841426,77838,734,7.2,91,1067734,Y
Degree,170724,454292,851,6.4,63,700559,N
Engineering,572203,147736,721,6.9,50,1499163,N
MBA,796185,583990,541,8.8,82,440388,N
BPhramacy,75603,491270,714,8.2,57,718340,N
MBA,440636,291923,578,9.3,77,885175,N
MBA,206734,465684,641,8.9,56,481618,N
Engineering,386096,59757,664,8.6,91,652861,N
MBA,24348,124871,897,8.2,57,1361739,N
MBA,881471,158878,567,9.3,90,917975,N
BPhramacy,941216,754861,552,8.3,88,577077,N
Medicine,625474,513402,677,6.3,54,817957,N
MBA,891165,416336,580,6.1,76,1280542,N
Medicine,529458,581840,612,7.7,52,1196524,N
MTech,136804,974110,614,6.5,50,487043,N
BPhramacy,975968,805079,788,9.0,90,813952,Y
BPhramacy,452332,633069,523,9.5,74,912841,N
Engineering,399929,901605,761,6.1,84,1349577,N
Law,855444,68663,895,8.7,81,1121819,Y
Engineering,785103,193384,717,6.5,93,1163522,N
MBA,353409,168553,559,9.3,51,1361006,N
MTech,800135,762610,654,6.1,75,495922,N
Engineering,978436,867641,845,9.1,82,788347,Y
BPhramacy,266230,244020,868,9.4,65,786144,N
MTech,572193,531450,668,9.4,64,807622,N
MBA,843852,792663,683,6.9,76,1165148,N
BPhramacy,116054,888360,634,6.1,72,792741,N
Engineering,530985,503521,622,7.4,55,1387257,N
Law,605607,663565,527,8.2,59,870956,N
Medicine,248938,210186,561,7.1,88,731184,N
BPhramacy,273431,416148,842,5.8,73,599161,N
BPhramacy,403170,827984,883,5.9,67,1327482,N
Law,910639,666632,731,8.1,54,574066,N
MTech,531593,634977,649,7.1,73,861273,N
MTech,189955,74748,523,6.1,79,1354291,N
Law,180691,823999,749,5.8,56,1244702,N
Degree,78991,331064,839,6.4,58,449046,N
BPhramacy,387737,878029,820,6.2,83,1161029,N
Engineering,420224,47788,561,8.5,81,719478,N
BPhramacy,876394,437344,711,7.9,74,604988,Y
Law,479569,306210,539,5.8,52,1124178,N
Medicine,692611,192679,545,7.7,61,701798,N
MTech,307280,81747,548,5.6,50,1413415,N
MTech,689323,997052,737,6.7,51,636176,N
MTech,928678,236888,694,8.7,92,1183953,N
Medicine,16528,139428,527,7.8,56,1375895,N
MTech,696235,363447,900,6.5,81,1430441,N
Degree,368526,727652,553,6.5,70,1472106,N
Medicine,492896,519029,570,6.8,80,1029444,N
BPhramacy,944545,337802,873,6.4,73,964089,N
Engineering,442929,155216,803,6.9,67,443213,N
Engineering,749459,196898,648,8.7,54,419869,N
Medicine,746200,97488,786,7.4,94,1168183,Y
MBA,235596,748962,676,7.6,59,1450042,N
Engineering,631096,961959,548,7.4,80,787327,N
BPhramacy,717505,266990,676,8.6,87,1302233,N
Degree,115137,975328,706,6.3,69,840367,N
Engineering,521660,657891,817,8.9,61,865298,N
Degree,841596,703863,776,8.1,77,769612,Y
Engineering,200318,303869,799,5.7,52,1392912,N
MTech,412411,482614,840,8.1,60,403210,N
Degree,105482,480262,679,9.3,63,462532,N
Medicine,459712,915618,507,7.8,85,1246806,N
Law,208229,836930,776,9.2,88,1100540,Y
Engineering,147347,775207,702,5.9,80,734375,N
MTech,462570,385915,875,8.4,67,754158,N
Medicine,832633,614703,884,9.5,91,524419,Y
BPhramacy,662085,711492,576,7.6,60,977690,N
Degree,425534,535817,671,8.7,73,1262050,N
Degree,338564,896786,509,5.9,71,942157,N
Engineering,904500,432230,557,6.4,58,1303045,N
Engineering,483412,289293,543,8.7,92,1308500,N
Degree,811236,61710,691,9.3,58,597036,N
Law,934089,527603,525,7.5,95,946686,N
Medicine,914734,625573,849,7.0,86,918551,Y
BPhramacy,256827,729040,890,5.7,81,981387,N
MTech,318334,754836,794,6.4,62,665000,N
Law,232035,205467,707,6.2,63,814382,N
BPhramacy,793467,429172,678,7.8,71,463336,N
BPhramacy,952441,931419,749,6.1,65,1041282,N
Engineering,64483,880845,753,7.9,58,1151478,N
Medicine,95949,183632,823,7.8,63,754578,N
Law,49176,937973,507,5.5,64,1487710,N
Medicine,634515,563691,682,9.2,66,1050555,N
Degree,464625,631322,637,7.3,84,794763,N
Law,776736,721067,663,8.8,92,1233330,N
Degree,12453,669334,860,5.8,57,1239004,N
Law,558824,406511,564,7.4,95,480173,N
MBA,745731,905175,641,7.5,60,422453,N
Engineering,998229,237314,715,6.4,53,704256,N
Medicine,987529,159839,805,5.5,69,894601,N
Engineering,700636,638505,555,8.7,89,638095,N
Degree,111889,174827,594,8.2,90,1297466,N
Law,757537,954975,842,6.2,54,1386194,N
Engineering,216592,127422,682,9.0,86,653465,N
Degree,141961,935567,510,5.7,59,965740,N
BPhramacy,890003,734957,720,6.1,85,690567,N
Medicine,151462,30084,631,8.7,62,1159051,N
MBA,41404,846554,746,8.7,94,984215,Y
BPhramacy,227156,466165,723,6.1,59,791205,N
Law,699098,481842,642,8.0,60,1323201,N
MTech,307136,114179,852,5.9,93,984094,N
Degree,122936,504717,580,5.9,74,799308,N
MTech,587771,923903,860,8.4,85,1153830,Y
Medicine,491240,983977,557,8.4,62,821926,N
Law,585753,20866,897,9.2,80,948240,Y
Degree,268409,240863,548,7.2,84,852474,N
Engineering,633399,102020,501,8.5,65,1348974,N
Medicine,848876,989734,731,8.2,90,1343854,Y
Law,710712,422146,731,7.7,70,641719,Y
Medicine,813445,814806,833,7.3,90,1417032,Y
BPhramacy,143676,253077,861,7.3,90,1376020,Y
MBA,954458,202927,895,7.7,55,407674,N
BPhramacy,427223,587453,758,8.2,83,1308295,Y
Medicine,310860,302081,588,7.9,75,455972,N
BPhramacy,529444,416639,710,6.8,62,678525,N
BPhramacy,273430,858984,729,9.5,59,535836,N
Law,43810,685647,801,7.3,82,651332,Y
Law,404468,304831,807,6.0,80,451068,N
MTech,192781,709267,549,6.6,84,1027266,N
Degree,818370,840528,704,8.7,55,479989,N
Degree,113057,410874,562,9.2,87,933827,N
BPhramacy,453347,311054,561,8.7,90,578359,N
MBA,644333,370574,731,5.9,63,1119960,N
Medicine,972834,354059,668,7.3,64,817820,N
MTech,16866,130510,791,8.7,94,596442,Y
Medicine,523909,261637,699,8.9,89,891162,N
Degree,849849,865575,746,6.9,61,1316423,N
MTech,269024,40135,630,7.7,61,699273,N
MBA,708549,246014,706,5.7,94,482497,N
Law,222030,860668,786,6.4,51,770993,N
Medicine,197823,800199,591,7.9,77,1405799,N
Medicine,429834,450497,723,7.8,86,1325156,Y
Engineering,336855,160299,774,7.0,53,837214,N
BPhramacy,899254,586542,746,6.1,87,729169,N
MTech,231278,292233,634,7.6,68,689760,N
Degree,392422,693634,589,7.3,69,819680,N
BPhramacy,351712,985133,532,8.8,95,492209,N
Medicine,549826,538977,780,5.9,55,1165793,N
Law,879916,24486,506,9.3,75,1109433,N
MBA,821571,148490,528,8.7,60,452149,N
MTech,96273,44180,892,7.7,73,1332444,Y
Engineering,825844,345007,681,8.7,74,1369682,N
MBA,622004,919996,556,5.7,57,1237616,N
MBA,573851,831066,876,6.4,82,698022,N
Law,982551,890896,772,6.6,56,1462240,N
Degree,531772,646540,754,8.2,64,1074284,N
Medicine,503597,187314,707,5.8,67,447619,N
Engineering,874402,251637,666,5.8,89,683794,N
MTech,558026,335060,613,5.7,77,1176897,N
Degree,874228,873293,826,7.2,54,948049,N
BPhramacy,222844,45267,556,8.6,81,1408917,N
Medicine,37083,858759,726,7.7,66,579379,N
Degree,449460,197935,809,6.0,67,1316432,N
Law,519806,156362,751,8.2,84,666627,Y
BPhramacy,678789,602970,565,6.3,87,441539,N
Medicine,418122,29401,609,5.8,52,648037,N
BPhramacy,128393,84295,826,8.2,53,978075,N
MTech,611826,390092,579,6.5,72,1371997,N
MTech,496320,83316,814,7.3,85,1258243,Y
Medicine,787595,788912,588,6.2,62,895097,N
BPhramacy,656300,451468,689,7.9,62,1346957,N
Medicine,437621,549766,819,8.4,78,810539,Y
BPhramacy,723268,310093,764,6.6,57,640218,N
Engineering,653344,660849,554,9.1,51,1186967,N
BPhramacy,727926,91850,514,7.9,69,611826,N
BPhramacy,571035,749202,682,5.7,58,412032,N
MTech,827176,983551,544,6.9,95,1276334,N
Law,549100,97703,546,8.6,73,614620,N
Law,991582,42238,816,6.9,62,1191573,N
Medicine,218703,653510,610,7.5,91,954011,N
Medicine,205402,574304,601,8.6,66,1216931,N
Engineering,879238,620645,762,9.2,95,845259,Y
MTech,26019,418411,782,7.4,59,1491487,N
Medicine,248785,970170,842,7.8,85,1350989,Y
Degree,960486,412670,860,6.1,62,435004,N
MTech,389517,824827,539,9.0,70,1124993,N
Medicine,469793,410867,820,8.8,57,811174,N
Degree,685458,817481,808,5.8,59,1205846,N
Degree,946467,181036,822,6.4,53,509172,N
Law,143414,10666,510,9.1,80,1011184,N
MTech,989365,825093,800,7.0,52,995051,N
Law,400356,598700,581,7.2,86,925546,N
Law,605845,146234,543,5.7,60,926463,N
BPhramacy,272818,247780,827,7.9,57,809348,N
Law,766757,451606,675,7.3,52,1115633,N
Medicine,850704,265243,753,7.6,50,494503,N
Law,775609,428483,595,8.7,64,583840,N
Law,855187,835447,870,6.8,58,995007,N
MBA,392611,213600,757,8.3,57,1163738,N
Medicine,275339,609948,627,8.1,67,860921,N
MTech,712951,361543,807,6.2,65,770660,N
MBA,17286,780012,801,8.2,66,903334,N
MBA,343935,333146,778,5.5,62,1237984,N
Degree,299566,578827,803,7.5,55,583967,N
MBA,485017,124476,758,6.1,85,1251525,N
Law,708754,607723,747,7.9,60,933987,N
BPhramacy,84701,895775,588,9.4,65,943646,N
Engineering,875692,42060,881,6.1,57,967449,N
Medicine,369968,277421,894,7.6,60,1247294,N
Engineering,556948,887640,790,6.9,92,1098007,N
Engineering,316615,279986,684,7.0,72,1056071,N
MBA,169741,561643,624,5.6,51,531772,N
Law,972741,977734,543,6.6,60,420892,N
Engineering,78359,33374,527,6.7,89,1422362,N
MTech,622157,343916,824,6.7,89,617939,N
Engineering,509920,535367,775,5.6,87,407437,N
Medicine,10244,598521,561,5.6,79,440530,N
Degree,314287,986801,507,8.0,70,443714,N
MTech,870890,90862,548,7.7,87,742167,N
MBA,158789,491326,566,5.5,61,566577,N
MBA,263702,587064,547,6.0,87,702605,N
Law,223559,675521,504,7.4,75,1490910,N
Law,948011,598348,541,9.2,91,1478844,N
Law,819242,186149,798,6.0,72,1173280,N
Law,992639,371469,761,6.4,82,1365007,N
MTech,812714,266266,718,9.5,76,510097,Y
Engineering,784418,667568,708,7.9,79,1466774,Y
Medicine,882698,303782,549,6.9,83,1268233,N
MTech,375384,564104,609,6.1,76,505401,N
Degree,82456,136974,871,9.0,83,1195719,Y
Degree,769840,560721,777,8.4,66,529800,N
Engineering,976223,388702,764,7.3,66,1110362,N
Law,319944,866401,570,6.0,64,1412273,N
MTech,554179,645751,725,7.6,82,950173,Y
Law,956186,347962,715,8.5,54,438616,N
Engineering,381618,462363,839,9.4,94,782563,Y
Law,157872,449437,730,6.7,63,735409,N
Medicine,570241,489059,662,7.4,91,1041683,N
Law,228254,507961,738,9.3,59,1321670,N
MBA,45845,878879,663,9.2,74,839350,N
Degree,197097,618172,549,6.5,66,745121,N
Medicine,147388,323756,543,6.0,51,883295,N
Medicine,471726,487799,570,8.5,64,1341696,N
Degree,550259,119017,750,8.2,74,1066643,Y
Medicine,822932,933828,565,9.4,95,820966,N
MTech,164698,536829,605,7.9,81,660695,N
MTech,435242,349865,769,8.5,74,423239,Y
MTech,783115,269457,897,9.3,70,414434,Y
MTech,190968,172566,504,8.1,74,464058,N
MTech,262787,763211,748,6.9,64,827929,N
Medicine,663858,127980,540,9.3,70,1492404,N
MBA,851975,605552,716,5.7,61,676313,N
BPhramacy,346119,175531,778,8.6,66,649400,N
MBA,373509,752147,599,6.0,73,680053,N
Law,585934,758197,550,7.6,55,1140232,N
Law,478804,941522,780,6.0,63,796374,N
BPhramacy,570172,62912,610,8.2,53,1457264,N
Engineering,610600,935466,771,8.4,67,788699,N
Engineering,947590,612014,688,8.0,72,438373,N
Degree,571462,322763,825,6.3,52,1110271,N
Medicine,897440,679505,519,6.8,51,437997,N
MTech,377807,851733,891,8.4,63,549565,N
MBA,391554,742448,837,7.8,60,938708,N
MTech,467776,359515,739,7.5,84,1406584,Y
Law,938195,203066,617,7.3,58,804201,N
Law,266411,281927,733,6.2,89,893791,N
Degree,120435,461855,679,5.6,91,766910,N
MBA,197248,148310,853,9.2,88,1394591,Y
BPhramacy,71793,280809,552,9.1,80,1008062,N
Medicine,685357,475406,846,5.6,65,657174,N
Engineering,78627,926354,865,6.8,50,1201201,N
Degree,31394,524749,800,5.7,63,1274206,N
Law,220890,689724,596,8.4,65,548791,N
Degree,474745,595735,635,6.7,80,1471941,N
MTech,467617,845422,824,6.1,54,1398979,N
Engineering,899907,852687,541,8.1,93,652900,N
BPhramacy,692704,834209,541,5.8,76,1222994,N
Law,737197,173995,526,8.8,85,420852,N
BPhramacy,351108,284064,628,5.6,60,670755,N
BPhramacy,131882,161181,893,6.9,73,814370,N
MTech,819593,469797,602,7.1,89,597175,N
Engineering,673384,26439,726,5.7,83,1181064,N
MTech,740896,907601,880,7.8,65,581178,N
Law,190648,937827,719,5.8,86,418903,N
Engineering,354041,199722,534,6.9,52,869377,N
MBA,53023,644687,803,6.4,58,1430707,N
Law,420632,468287,892,7.0,54,1100523,N
Law,751328,983713,877,6.0,83,1289575,N
Degree,894026,874333,533,8.5,73,1213930,N
Law,409685,339854,550,9.2,86,535468,N
Degree,439164,572327,694,6.2,59,781865,N
MBA,884638,640115,529,5.6,87,703796,N
Engineering,314858,545407,653,9.2,57,809512,N
Law,458184,480912,831,7.5,54,747601,N
Degree,133444,112358,505,8.7,59,1227082,N
Degree,675950,65176,699,6.3,63,991752,N
BPhramacy,747067,421609,532,7.6,94,1072946,N
Engineering,349111,148356,587,7.3,84,1455857,N
Law,253179,135102,801,8.1,50,907924,N
MBA,399557,213024,677,7.9,72,1447321,N
Engineering,449063,846242,737,7.1,95,921555,Y
MTech,519443,231409,755,7.4,62,747291,N
BPhramacy,475909,985253,663,8.5,73,415034,N
MTech,290887,715433,810,7.4,85,1315901,Y
MBA,165604,684005,570,8.1,68,849507,N
Medicine,598748,738319,546,7.5,90,640970,N
MBA,750885,226102,814,9.0,93,754667,Y
Medicine,989975,574363,763,7.3,67,718422,N
Degree,111261,364714,560,6.3,58,664824,N
MTech,170605,950612,515,9.3,53,686705,N
Law,16670,494874,834,7.3,66,1436610,N
Medicine,692202,212376,540,8.0,71,1025467,N
Degree,564022,910796,692,8.9,59,1038010,N
Law,514243,939962,669,6.5,85,744977,N
Medicine,572191,310841,789,9.1,52,732650,N
Law,277718,18801,737,6.7,61,1215004,N
MTech,371605,591848,559,8.2,86,786915,N
MBA,753697,552126,871,6.1,88,902736,N
Law,822287,810916,552,5.8,75,1394136,N
MBA,130929,831992,822,6.3,93,586419,N
Law,834001,689189,686,8.8,68,1155240,N
MTech,144877,403614,645,8.2,59,426523,N
Degree,339156,151152,700,7.7,88,440506,Y
Engineering,874821,493216,885,7.4,54,596730,N
MTech,193036,628060,571,8.8,54,647398,N
Medicine,592683,410300,672,8.9,74,454101,N
BPhramacy,807036,904522,563,7.2,53,883042,N
Engineering,256740,264716,663,7.8,81,505222,N
Engineering,133891,342082,701,7.1,56,1156105,N
Engineering,749135,936362,654,8.0,65,804469,N
Engineering,665844,906004,609,7.7,75,408292,N
Medicine,257194,33712,851,6.4,53,1025149,N
BPhramacy,807948,504188,822,7.8,85,1181438,Y
Law,304352,58446,550,8.6,70,963874,N
Law,531031,940502,575,5.8,67,750491,N
Engineering,974704,523613,897,6.7,65,741578,N
Medicine,266789,954211,546,6.4,68,1172681,N
Medicine,991205,395515,625,6.2,58,1080896,N
MTech,148690,676705,699,5.8,84,422240,N
Medicine,606693,86198,613,6.3,82,478276,N
MBA,596388,961291,756,7.6,74,555816,Y
BPhramacy,149078,34299,512,8.2,58,674815,N
MTech,966172,23922,692,8.3,88,616723,N
Degree,151280,662787,556,8.8,73,1356099,N
Medicine,604183,363521,572,8.0,73,644172,N
Degree,310487,986820,852,8.9,86,818455,Y
Degree,914477,515682,521,9.2,68,1426984,N
BPhramacy,361245,973939,598,6.6,58,558677,N
MBA,527230,284216,611,8.2,67,565608,N
Law,461885,108524,801,6.7,84,657732,N
Degree,512089,557512,709,9.3,51,1132429,N
BPhramacy,944261,910915,657,6.9,69,755346,N
Degree,737976,415815,677,9.0,65,765490,N
MBA,444723,228382,532,6.6,85,1299366,N
MTech,426318,400574,757,5.7,87,576019,N
MTech,208818,234503,577,9.1,57,802101,N
Law,47599,196904,892,6.6,62,578609,N
MBA,748815,914553,783,7.1,63,525895,N
BPhramacy,360322,470766,898,7.3,71,939259,Y
MTech,85572,605439,542,7.2,74,598425,N
BPhramacy,470157,482390,707,7.0,68,1119304,N
MTech,713902,170882,517,5.8,87,1252946,N
Engineering,716610,959883,505,8.6,82,1004155,N
MTech,567087,507342,593,8.7,56,1092013,N
Degree,545476,328422,735,6.4,59,534453,N
MTech,679153,990113,837,7.2,95,1038921,Y
MBA,28829,321861,670,8.4,61,939441,N
Engineering,417594,640502,657,6.1,86,1007897,N
Law,319916,201540,751,5.9,76,1034580,N
Engineering,698062,690108,736,6.9,76,1006320,N
Degree,233753,806039,679,9.3,86,1360759,N
MBA,20093,508323,688,8.9,80,771930,N
Law,628672,345815,804,6.5,83,615341,N
Medicine,509316,536951,660,6.3,64,998464,N
Medicine,839057,15471,765,6.1,81,808672,N
Medicine,774710,720342,883,6.0,72,888475,N
Degree,987431,404080,583,7.1,74,492501,N
Medicine,464151,870411,534,9.5,88,1480533,N
Degree,894549,127331,719,5.9,52,707544,N
Engineering,76367,775063,895,7.9,92,941947,Y
Engineering,245493,123840,706,8.1,66,1336468,N
Law,540969,744210,594,8.0,77,1477894,N
Medicine,155974,729556,900,6.8,58,1125206,N
Law,532635,58634,831,8.6,52,592018,N
MTech,634755,581404,558,6.7,79,430406,N
Degree,288382,60017,522,5.6,66,854140,N
Law,24170,510853,553,7.2,53,972932,N
Medicine,17750,168591,662,7.6,56,1007750,N
Engineering,22776,609387,650,5.8,66,1350496,N
Law,627120,40322,837,8.9,51,1290947,N
Degree,951413,515254,870,6.1,82,958010,N
Medicine,716906,92325,631,7.2,83,1497321,N
MTech,980457,391912,544,8.4,88,1425335,N
BPhramacy,913689,173518,718,8.6,52,599058,N
Law,65489,471959,809,8.7,65,1071911,N
Medicine,857448,895031,668,8.9,81,1066144,N
BPhramacy,946886,119360,640,5.8,83,1390267,N
Medicine,933056,885598,698,7.1,78,640336,N
Law,366780,123003,871,7.0,90,1126681,Y
MTech,375476,438604,653,5.9,78,721322,N
Degree,258197,119227,702,9.4,74,1242646,Y
BPhramacy,265721,220442,726,9.5,67,875717,N
Medicine,426636,688738,561,8.2,53,1259035,N
BPhramacy,941843,43564,685,5.6,74,1264921,N
MTech,199849,624676,762,7.2,63,860642,N
BPhramacy,466858,32895,855,7.9,75,492940,Y
BPhramacy,973602,126705,834,8.7,75,724935,Y
Engineering,742520,868929,649,6.5,68,714600,N
BPhramacy,886920,995384,513,5.8,84,815551,N
MTech,163258,154862,678,8.6,75,762552,N
MTech,542456,99370,540,8.3,56,754551,N
MTech,425783,628977,545,6.7,52,731153,N
MTech,382453,131087,896,8.0,86,696241,Y
Medicine,399009,10406,739,7.8,78,851015,Y
MTech,589629,356191,586,5.9,79,839763,N
MBA,127651,801161,640,9.2,74,1187352,N
Medicine,840975,832335,707,7.2,59,1437134,N
MTech,682218,624698,748,9.4,62,576962,N
Law,77789,738727,503,9.0,82,952977,N
Law,177295,191328,814,7.9,70,815427,Y
BPhramacy,341749,876761,510,9.3,72,791133,N
Medicine,973127,644589,882,9.0,83,969519,Y
MTech,570839,765898,693,6.7,59,1066654,N
Engineering,685387,483248,747,7.5,62,1371871,N
MBA,626056,454993,897,8.3,82,1395683,Y
MTech,871529,746988,569,8.1,77,763291,N
MTech,697788,713482,733,8.1,92,1161640,Y
Law,442299,317240,702,7.5,83,1081994,Y
BPhramacy,844323,705285,502,8.5,55,1294450,N
Degree,971739,300679,646,9.2,95,410457,N
Medicine,145119,86201,530,8.7,86,1264059,N
BPhramacy,915078,731256,548,7.3,89,734385,N
Law,962042,127959,618,8.8,82,883232,N
